city,county_name,state_name,short_url,day,search_url,point
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/wK7w,1895-03-17,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah,"c(-111.9306, 40.7777)"
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/wK7w,1895-03-17,https://wilfordwoodruffpapers.org/places?search=Provo+Utah,"c(-111.6457, 40.2457)"
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/gnM6,1895-03-12,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah,"c(-111.9306, 40.7777)"
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/gnM6,1895-03-12,https://wilfordwoodruffpapers.org/places?search=Provo+Utah,"c(-111.6457, 40.2457)"
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/3yVQ,1895-03-08,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah,"c(-111.9306, 40.7777)"
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/3yVQ,1895-03-08,https://wilfordwoodruffpapers.org/places?search=Provo+Utah,"c(-111.6457, 40.2457)"
Provo,Utah County,Utah,https://wilfordwoodruffpapers.org/p/ql6r,1897-12-04,https://wilfordwoodruffpapers.org/places?search=Provo+Utah,"c(-111.6457, 40.2457)"
Salt Lake City,Salt Lake County,Utah,https://wilfordwoodruffpapers.org/p/ql6r,1897-12-04,https://wilfordwoodruffpapers.org/places?search=Salt+Lake+City+Utah,"c(-111.9306, 40.7777)"
Oasis,Millard County,Utah,https://wilfordwoodruffpapers.org/p/rmBE,1897-11-23,https://wilfordwoodruffpapers.org/places?search=Oasis+Utah,"c(-112.629, 39.2923)"
Denver,Denver County,Colorado,https://wilfordwoodruffpapers.org/p/j05R,1895-02-10,https://wilfordwoodruffpapers.org/places?search=Denver+Colorado,"c(-104.8759, 39.7621)"
