"Internal ID","Name","Address","Country","State or Province","County","City","Specific Place","Modern Location","Visited","Mentioned Only","Latitude","Longitude","Website URL"
"26","Albany, Albany County, New York","","","New York","Albany County","Albany","","","","","","","https://wilfordwoodruffpapers.org/subjects/albany-albany-county-new-york"
"39","Allentown, Monmouth County, New Jersey","","","New Jersey","Monmouth County","Allentown","","","","","","","https://wilfordwoodruffpapers.org/subjects/allentown-monmouth-county-new-jersey"
"48","Alton, Madison County, Illinois","","","Illinois","Madison County","Alton","","","","","","","https://wilfordwoodruffpapers.org/subjects/alton-madison-county-illinois"
"116","Apperley, Gloucestershire, England","","England","","Gloucestershire","Apperley","","","","","","","https://wilfordwoodruffpapers.org/subjects/apperley-gloucestershire-england"
"118","Arkansas","","","","","","","","","","","","https://wilfordwoodruffpapers.org/subjects/arkansas"
"120","Arkansas Territory","","","Arkansas Territory","","","","Arkansas","","","","","https://wilfordwoodruffpapers.org/subjects/arkansas-territory"
"131","Atlantic Ocean","","","","","","Atlantic Ocean","","","","","","https://wilfordwoodruffpapers.org/subjects/atlantic-ocean"
"135","Australia","","Australia","","","","","","","","","","https://wilfordwoodruffpapers.org/subjects/australia"
"136","Avon, Hartford County, Connecticut","","","Connecticut","Hartford County","Avon","","Avon, Hartford County, Connecticut","","","","","https://wilfordwoodruffpapers.org/subjects/avon-hartford-county-connecticut"
"140","Babylon","","","","","Babylon","","Al-Hillah, Iraq","","","","","https://wilfordwoodruffpapers.org/subjects/babylon"
"145","Barnstable County, Massachusetts","","","Massachusetts","Barnstable County","","","","","","","","https://wilfordwoodruffpapers.org/subjects/barnstable-county-massachusetts"
"146","Barry County, Missouri","","","Missouri","Barry County","","","","","","","","https://wilfordwoodruffpapers.org/subjects/barry-county-missouri"
"156","Bedford, Bedfordshire, England","","England","","Bedfordshire","Bedford","","","","","","","https://wilfordwoodruffpapers.org/subjects/bedford-bedfordshire-england"
"181","Benton County, Tennessee","","","Tennessee","Benton County","","","Benton County, Tennessee","","","","","https://wilfordwoodruffpapers.org/subjects/benton-county-tennessee"
"190","Birmingham, Warwickshire, England","","England","","Warwickshire","Birmingham","","","","","","","https://wilfordwoodruffpapers.org/subjects/birmingham-warwickshire-england"
"191","Bishops Frome, Herefordshire, England","","England","","Herefordshire","Bishops Frome","","","","","","","https://wilfordwoodruffpapers.org/subjects/bishops-frome-herefordshire-england"
"203","Boston, Suffolk County, Massachusetts","","","Massachusetts","Suffolk County","Boston","","Boston, Suffolk County, Massachusetts","","","","","https://wilfordwoodruffpapers.org/subjects/boston-suffolk-county-massachusetts"
"233","Bristol, Gloucestershire, England","","England","","Gloucestershire","Bristol","","","","","","","https://wilfordwoodruffpapers.org/subjects/bristol-gloucestershire-england"
"289","Buffalo, Erie County, New York","","","New York","Erie County","Buffalo","","","","","","","https://wilfordwoodruffpapers.org/subjects/buffalo-erie-county-new-york"
"291","Burslem, Staffordshire, England","","England","","Staffordshire","Burslem","","","","","","","https://wilfordwoodruffpapers.org/subjects/burslem-staffordshire-england"
"292","Bushnell Basin, New York","","","New York","","","Bushnell Basin","","","","","","https://wilfordwoodruffpapers.org/subjects/bushnell-basin-new-york"
"295","Cache County, Utah","","","","","","","Wellsville, Cache County, Utah","","","","","https://wilfordwoodruffpapers.org/subjects/cache-county-utah"
"300","California","","","California","","","","California","","","","","https://wilfordwoodruffpapers.org/subjects/california"
"301","Calloway County, Kentucky","","","Kentucky","Calloway County","","","Calloway County, Kentucky","","","","","https://wilfordwoodruffpapers.org/subjects/calloway-county-kentucky"
"305","Cambridge, Middlesex County, Massachusetts","","","Massachusetts","Middlesex County","Cambridge","","","","","","","https://wilfordwoodruffpapers.org/subjects/cambridge-middlesex-county-massachusetts"
"313","Canada","","Canada","","","","","","","","","","https://wilfordwoodruffpapers.org/subjects/canada"
"315","Canton, Hartford County, Connecticut","","","Connecticut","Hartford County","Canton","","","","","","","https://wilfordwoodruffpapers.org/subjects/canton-hartford-county-connecticut"
"325","Carroll County, Tennessee","","","Tennessee","Carroll County","","","Carroll County, Tennessee","","","","","https://wilfordwoodruffpapers.org/subjects/carroll-county-tennessee"
"326","Carthage, Hancock County, Illinois","","","Illinois","Hancock County","Carthage","","","","","","","https://wilfordwoodruffpapers.org/subjects/carthage-hancock-county-illinois"
"362","Chatham, Columbia County, New York","","","New York","Columbia County","Chatham","","","","","","","https://wilfordwoodruffpapers.org/subjects/chatham-columbia-county-new-york"
"364","Cheltenham, Gloucestershire, England","","England","","Gloucestershire","Cheltenham","","","","","","","https://wilfordwoodruffpapers.org/subjects/cheltenham-gloucestershire-england"
"365","Chepstow, Monmouthshire, Wales","","Wales","","Monmouthshire","Chepstow","","","","","","","https://wilfordwoodruffpapers.org/subjects/chepstow-monmouthshire-wales"
"367","Cheshire, England","","England","","Cheshire","","","Varies","","","","","https://wilfordwoodruffpapers.org/subjects/cheshire-england"
